,model,test mse,test std,epochs,lr,n_nodes_per_layer,n_factors,batch_size,dropout_prob
0,11,11.600104761413627,0.2784302,25,1e-06,128,25,256,0.2
1,11,11.600104761413627,0.2784302,25,1e-06,64,25,256,0.2
2,11,11.600104761413627,0.2784302,25,1e-06,32,25,256,0.2
3,11,11.600104761413627,0.2784302,25,1e-06,16,25,256,0.2
4,11,11.600104761413627,0.2784302,25,1e-06,8,25,256,0.2
5,11,11.600104761413627,0.2784302,25,1e-06,4,25,256,0.2
6,11,11.600104761413627,0.2784302,25,1e-06,2,25,256,0.2
