,model,test mse,test std,epochs,lr,n_nodes_per_layer,n_factors,batch_size,dropout_prob
0,13,0.9360895468956465,0.7334557,25,0.01,128,50,256,0.2
1,13,0.9360895468956465,0.7334557,25,0.01,64,50,256,0.2
2,13,0.9360895468956465,0.7334557,25,0.01,32,50,256,0.2
3,13,0.9360895468956465,0.7334557,25,0.01,16,50,256,0.2
4,13,0.9360895468956465,0.7334557,25,0.01,8,50,256,0.2
5,13,0.9360895468956465,0.7334557,25,0.01,4,50,256,0.2
6,13,0.9360895468956465,0.7334557,25,0.01,2,50,256,0.2
