,model,test mse,test std,epochs,lr,n_nodes_per_layer,n_factors,batch_size,dropout_prob
0,9,8.960056540391518,5.9604645e-08,25,0.0001,128,25,256,0.2
1,9,8.960056540391518,5.9604645e-08,25,0.0001,64,25,256,0.2
2,9,8.960056540391518,5.9604645e-08,25,0.0001,32,25,256,0.2
3,9,8.960056540391518,5.9604645e-08,25,0.0001,16,25,256,0.2
4,9,8.960056540391518,5.9604645e-08,25,0.0001,8,25,256,0.2
5,9,8.960056540391518,5.9604645e-08,25,0.0001,4,25,256,0.2
6,9,8.960056540391518,5.9604645e-08,25,0.0001,2,25,256,0.2
